iter	Passed	Remaining
0	0	433
1	0	385
2	1	616
3	2	542
4	2	503
5	2	472
6	3	450
7	3	435
8	3	423
9	4	412
10	4	403
11	4	396
12	5	389
13	5	384
14	5	380
15	6	376
16	6	373
17	6	370
18	7	367
19	7	363
20	7	361
21	8	359
22	8	356
23	8	355
24	9	354
25	9	352
26	9	350
27	10	348
28	10	366
29	11	364
30	11	362
31	11	360
32	12	358
33	12	357
34	12	355
35	13	353
36	13	352
37	13	351
38	14	349
39	14	348
40	14	347
41	15	346
42	15	345
43	15	343
44	16	342
45	16	341
46	16	340
47	17	338
48	18	354
49	18	353
50	18	351
51	19	350
52	19	349
53	19	347
54	20	346
55	20	345
56	20	344
57	21	343
58	21	343
59	21	342
60	22	341
61	22	340
62	22	339
63	23	338
64	23	338
65	23	337
66	24	336
67	24	333
68	24	331
69	24	331
70	25	330
71	25	329
72	25	328
73	26	327
74	26	326
75	26	325
76	27	325
77	27	324
78	27	323
79	28	322
80	28	322
81	28	321
82	29	320
83	29	319
84	29	317
85	29	317
86	30	314
87	30	314
88	30	313
89	32	324
90	32	323
91	32	323
92	33	323
93	33	323
94	33	323
95	34	323
96	34	323
97	35	322
98	35	322
99	35	322
100	36	322
101	36	320
102	36	319
103	37	320
104	37	319
105	37	319
106	38	319
107	38	319
108	39	319
109	39	318
110	39	319
111	40	318
112	40	318
113	40	317
114	41	318
115	41	316
116	41	316
117	42	316
118	42	315
119	43	315
120	43	314
121	43	314
122	43	313
123	44	312
124	44	312
125	45	312
126	45	311
127	45	310
128	45	310
129	46	310
130	46	310
131	47	309
132	47	309
133	47	308
134	48	309
135	48	308
136	49	308
137	49	307
138	49	307
139	50	307
140	50	307
141	50	306
142	51	306
143	51	306
144	51	306
145	52	305
146	52	305
147	52	305
148	53	305
149	53	304
150	54	304
151	54	303
152	54	303
153	55	303
154	55	303
155	55	302
156	56	302
157	56	302
158	57	302
159	57	301
160	57	301
161	58	300
162	58	301
163	58	300
164	60	306
165	60	305
166	61	305
167	61	304
168	61	304
169	62	304
170	62	304
171	63	303
172	63	303
173	63	303
174	64	302
175	64	302
176	64	301
177	65	301
178	65	301
179	66	300
180	66	299
181	66	299
182	66	299
183	67	298
184	67	298
185	68	298
186	68	297
187	68	297
188	69	297
189	69	296
190	69	296
191	70	295
192	70	295
193	71	295
194	71	294
195	71	294
196	72	294
197	72	293
198	72	293
199	73	293
200	73	292
201	74	292
202	74	292
203	74	292
204	75	291
205	75	291
206	75	291
207	76	291
208	76	290
209	77	290
210	77	289
211	77	289
212	78	289
213	78	288
214	79	288
215	79	288
216	79	287
217	80	287
218	80	287
219	80	287
220	81	286
221	81	286
222	82	286
223	82	285
224	82	285
225	83	284
226	83	285
227	84	284
228	84	284
229	84	283
230	85	283
231	85	283
232	85	283
233	86	282
234	86	282
235	87	281
236	87	281
237	87	281
238	88	280
239	88	280
240	88	279
241	89	279
242	89	279
243	90	278
244	90	278
245	90	278
246	91	277
247	91	277
248	91	277
249	92	276
250	92	276
251	93	276
252	93	275
253	93	275
254	94	275
255	94	274
256	94	274
257	95	274
258	95	273
259	96	273
260	96	273
261	96	272
262	97	272
263	97	272
264	98	271
265	98	271
266	98	271
267	99	270
268	99	270
269	99	269
270	100	269
271	100	269
272	100	268
273	101	268
274	101	267
275	101	267
276	102	267
277	102	266
278	103	266
279	103	266
280	103	265
281	104	265
282	104	265
283	105	264
284	105	264
285	105	263
286	106	263
287	106	263
288	106	263
289	107	262
290	107	262
291	107	261
292	108	261
293	108	261
294	109	260
295	109	260
296	109	260
297	110	259
298	110	259
299	110	258
300	111	258
301	111	258
302	112	258
303	112	257
304	112	257
305	113	256
306	113	256
307	113	256
308	114	255
309	114	255
310	115	254
311	115	254
312	115	254
313	116	253
314	116	253
315	116	253
316	117	252
317	117	252
318	118	252
319	118	251
320	118	251
321	119	251
322	119	250
323	120	250
324	120	250
325	120	249
326	121	249
327	121	248
328	122	249
329	122	249
330	123	248
331	123	248
332	123	248
333	124	247
334	125	248
335	125	248
336	126	248
337	126	247
338	126	247
339	127	246
340	127	246
341	127	246
342	128	245
343	128	245
344	129	245
345	130	247
346	131	247
347	131	246
348	132	246
349	132	246
350	133	246
351	133	245
352	133	245
353	134	245
354	134	244
355	135	244
356	135	243
357	135	243
358	136	243
359	136	242
360	136	242
361	137	242
362	137	241
363	138	241
364	138	240
365	138	240
366	139	240
367	139	239
368	139	239
369	140	238
370	140	238
371	141	238
372	141	237
373	141	237
374	142	237
375	142	236
376	143	236
377	143	235
378	143	235
379	144	235
380	144	234
381	144	234
382	145	234
383	145	233
384	145	233
385	146	232
386	146	232
387	147	232
388	147	231
389	147	231
390	148	230
391	148	230
392	148	229
393	149	229
394	149	229
395	150	228
396	150	228
397	150	228
398	151	227
399	151	227
400	151	226
401	152	226
402	152	226
403	153	225
404	153	225
405	153	224
406	154	224
407	154	224
408	155	223
409	155	223
410	155	223
411	156	222
412	156	222
413	156	221
414	157	221
415	157	221
416	157	220
417	158	220
418	158	220
419	159	219
420	159	219
421	159	218
422	160	218
423	160	218
424	160	217
425	161	217
426	161	216
427	162	216
428	162	216
429	162	215
430	163	215
431	163	215
432	163	214
433	164	214
434	164	213
435	165	213
436	165	213
437	166	213
438	166	212
439	166	212
440	167	211
441	167	211
442	167	211
443	168	210
444	168	210
445	169	209
446	170	211
447	171	210
448	171	210
449	171	210
450	175	213
451	175	213
452	176	212
453	176	212
454	180	215
455	180	215
456	181	215
457	182	215
458	182	215
459	183	214
460	183	214
461	183	213
462	184	214
463	185	213
464	185	213
465	185	212
466	186	212
467	186	211
468	188	212
469	188	212
470	188	211
471	189	211
472	189	211
473	189	210
474	190	210
475	190	209
476	191	209
477	191	208
478	191	208
479	192	208
480	192	207
481	192	207
482	193	206
483	193	206
484	193	205
485	194	205
486	194	205
487	195	204
488	195	204
489	195	203
490	196	203
491	196	202
492	196	202
493	197	202
494	197	201
495	198	201
496	198	200
497	198	200
498	199	200
499	199	199
500	199	199
501	200	198
502	200	198
503	201	197
504	201	197
505	201	197
506	202	196
507	202	196
508	202	195
509	203	195
510	203	194
511	204	194
512	204	194
513	204	193
514	205	193
515	205	192
516	205	192
